country,city,district,min_booking_duration,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,first_pic_category,was_published,clicks_count
1,155,774,1,0,0,0.0,,,,,,,0,0
1,968,940,3,2,2,300.0,723.0,500.0,3,2,30.0,ROOM_BEDROOM,0,0
1,223,973,1,0,0,0.0,,,,,,,0,0
1,771,782,1,0,0,0.0,,,,,,,0,0
1,450,469,12,1,3,3980.0,70.0,1990.0,2,15,200.0,UNCATEGORIZED,1,90
1,155,774,1,0,0,0.0,,,,,,,0,0
1,885,869,1,2,2,4000.0,70.0,2900.0,2,15,150.0,LIVING_DINING_ROOM,1,93
1,155,486,3,1,1,2500.0,34.0,1400.0,1,14,120.0,LIVING_ROOM,1,120
1,155,916,1,1,1,100.0,20.0,1690.0,2,12,1590.0,ROOM_BEDROOM,1,13
1,206,230,1,2,1,990.0,22.0,990.0,2,6,50.0,BATHROOM,1,49
1,155,815,1,0,0,0.0,,,,,,,0,0
1,416,435,1,3,2,2000.0,85.0,2100.0,3,25,90.0,KITCHEN,1,117
2,1086,,1,2,2,2500.0,41.0,2967.0,4,10,150.0,ROOM_BEDROOM,1,82
2,1078,,2,5,5,3100.0,76.0,3100.0,4,14,150.0,DINING_ROOM,1,23
1,260,301,1,0,0,0.0,,,,,,,0,0
0,1530,,5,1,1,1380.0,112.0,465.0,1,2,50.0,HALL_CORRIDOR,1,174
1,390,409,1,1,1,0.0,20.0,1500.0,1,9,40.0,ROOM_BEDROOM,1,0
1,1578,1414,3,2,2,2000.0,68.0,1100.0,2,9,150.0,LIVING_DINING_ROOM,1,378
1,351,372,1,2,2,0.0,48.0,1390.0,3,20,0.0,LIVING_DINING_ROOM,1,60
1,155,41,1,0,0,0.0,,,,,,,0,0
1,359,380,1,7,3,0.0,70.0,5000.0,7,16,60.0,ROOM_BEDROOM,1,5
1,595,46,3,0,0,0.0,,,,,,,0,0
1,155,1068,1,0,0,0.0,,,,,,,0,0
1,579,594,1,0,0,0.0,,,,,,,0,0
2,1086,,1,1,1,2400.0,16.0,1200.0,3,15,0.0,UNCATEGORIZED,1,75
1,155,916,1,0,0,0.0,,,,,,,0,0
2,1086,,1,1,2,1200.0,77.0,3858.0,2,11,0.0,UNCATEGORIZED,1,5
1,155,314,1,0,0,0.0,,,,,,,0,0
1,155,486,1,2,3,2400.0,81.0,2400.0,4,36,150.0,LIVING_ROOM,1,206
1,317,335,1,2,2,1890.0,65.0,2500.0,2,37,200.0,ROOM_BEDROOM,1,13
1,450,469,6,3,4,7000.0,95.0,2700.0,4,9,150.0,UNCATEGORIZED,1,97
2,870,,1,0,0,0.0,,,,,,,0,0
1,916,895,3,1,1,1200.0,36.0,800.0,2,8,150.0,KITCHEN,0,0
